,PropertyId,Url,Address,Price,Description,PropertyType,Bedrooms,Bathrooms,FurnishedType,ListingDate,PetFriendly,Smokers,Gardens,Parking,LetAvailableDate,Deposit,Geolocation,latitude,longitude
10,10,https://www.rightmove.co.uk/properties/137176874#/?channel=RES_LET,"Danehurst Street, Munster Village, London, SW6",3250.0,"SHORT LET. Bright and spacious throughout, this fantastic 3 bedroom 1st floor flat is beautifully arranged in a gorgeous terrace house set on a quiet road in the heart of Munster Village. Danehurst Street is ideally situated on a gorgeous residential street in the heart of Munster Village and the amenities of Fulham Palace Road are conveniently situated moments away.  Please use the reference FULM0242910 when contacting Foxtons. Brochures Property details Super sized images Read more",Maisonette,3.0,1.0,Ask agent,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Ask agent,750.0,"(51.47659251293962, -0.2011390132714001)",51.47659251293962,-0.2011390132714001
11,11,https://www.rightmove.co.uk/properties/137176871#/?channel=RES_LET,"Lillie Road, Fulham, London, SW6",3034.0,"LONG LET. Superbly located, this fashionable 2 bedroom apartment presents chic living moments from North End Road's bustling amenities. Its contemporary decor is complemented by an open-plan layout and lovely sunfilled interiors. Lillie Road benefits from a lively location with the amenities of North End Road on its doorstep, including the fabulous North End Road Market. Normand Park is moments away, while ample bus routes and West Brompton Station are nearby.  Please use the reference CHPK4544583 when contacting Foxtons. Brochures Property details Super sized images Read more",Flat,2.0,2.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Ask agent,3500.0,"(51.483974, -0.2072543)",51.483974,-0.2072543
12,12,https://www.rightmove.co.uk/properties/137176865#/?channel=RES_LET,"Clem Attlee Court, Fulham, London, SW6",1842.0,"LONG LET. Ideally located within a secure purpose-built block just moments from a wide range of local shops and amenities, this fantastic 1 bedroom 1st floor flat has been fully refurbished throughout. This fantastic flat is situated within a secure purpose-built block, ideally located just moments from a wide range of bars, shops, restaurants and amenities on both North End Road and Fulham Broadway.  Please use the reference FULM0113875 when contacting Foxtons. Brochures Property details Super sized images Read more",Flat,1.0,1.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Ask agent,2125.0,"(51.4846505, -0.2022519)",51.4846505,-0.2022519
13,13,https://www.rightmove.co.uk/properties/137176580#/?channel=RES_LET,"Glengarry Road, East Dulwich, London, SE22",1700.0,"LONG LET. This fantastic 1 bed split-level flat offers a spacious reception and dining area, good sized bedroom and an excellent location in Central East Dulwich. Central East Dulwich and Lordship Lane are easily accessible for a wide range of quality shops, restaurants and boutiques. Local transport links include East Dulwich Station (National Rail).  Please use the reference CHPK0686608 when contacting Foxtons. Brochures Property details Super sized images Read more",Flat,1.0,1.0,Part furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Ask agent,1962.0,"(51.45451094186047, -0.0724430949612403)",51.45451094186047,-0.0724430949612403
14,14,https://www.rightmove.co.uk/properties/137176583#/?channel=RES_LET,"Waldram Park Road, Forest Hill, London, SE23",1800.0,"LONG LET. This 1 bedroom, 3rd floor flat is presented to the highest standard and completely refurbished throughout, featuring a spacious reception room and a smart open-plan kitchen. This stunning flat is only moments away from the great range of shops, restaurants, pubs and amenities of Forest Hill. Also nearby is Forest Hill Rail station and a number of bus routes.  Please use the reference NWHM3858411 when contacting Foxtons. Brochures Property details Super sized images Read more",Flat,1.0,1.0,Unfurnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Ask agent,2077.0,"(51.44145484872612, -0.0491431369426751)",51.44145484872612,-0.0491431369426751
15,15,https://www.rightmove.co.uk/properties/137176556#/?channel=RES_LET,"Second Avenue, London, E12",1600.0,"Property Reference: 1693333. We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location. Available to move in from 28 July 2023, this property benefits from garden access. Property is offered unfurnished. Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!  Summary Rent £1,600.00 per month (£369.23 per week) Deposit / Bond is £1,600.00 Minimum tenancy is 12 months Maximum number of tenants is 4 Summary & Exclusions: - Rent Amount: £1,600.00 per month (£369.23 per week) - Deposit / Bond: £1,600.00 - 2 Bedrooms - 1 Bathrooms - Property comes unfurnished - Available to move in from 28 July, 2023 - Minimum tenancy term is 12 months - Maximum number of tenants is 4 - Students welcome to enquire - Pets considered / by arrangement - No Smokers - Family Friendly - Bills not included - No Parking Available - Property has garden access - EPC Rating: Currently Being Obtained    If calling, please quote reference: 1693333    Fees: You will  not  be charged any admin fees.  ** Contact today to book a viewing and have the landlord show you round! **  Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week. Read more",Flat,2.0,1.0,Unfurnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,28/07/2023,1600.0,"(51.5501395, 0.0531609)",51.5501395,0.0531609
16,16,https://www.rightmove.co.uk/properties/137176430#/?channel=RES_LET,Hackney Road,2795.0,"Reference: 9097# No Deposit available. Presenting this stunning 1-bedroom flat in the Rosewood Building in the Shoreditch Exchange. The rent includes access to a variety of convenient amenities like concierge service, a communal roof garden with amazing city views, an indoor 16-seat cinema, a members lounge, an on-site gym, a bike parking & storage facility, private courtyards, and a pet license for £150 + VAT (one-off). Available now, this flat is beautifully bright with large windows and high ceilings. It comes with a well-equipped open-plan kitchen, 1 bathroom, plenty of storage space, and a balcony. EPC rating is B (Council Tax Band TBC)  *Please note the photos used are the master images for rental flats in the building. The property in question is very similar but may differ slightly in layout.* The rent includes wifi. Utilities and council tax are excluded.  The property has an EPC rating of B and is under the Council Tax band C. Rosewood building is located on a quiet street and within walking distance of the Hoxton Overground. Whilst Scraye uses reasonable endeavours to ensure that the information displayed in respect of any property is accurate, Scraye is not able to verify all information independently, some of the information is derived from third parties and services and appliances listed have not been tested by us and no guarantee as to their specification or operating ability is given. Any prospective Tenants or other users of this website should:     1. Not rely on this information as a statement or representation of fact;     2. Note that this information does not constitute any part of an offer or contract; and     3. Take their own steps to satisfy themselves by their own inspection (including viewing the property in person), searches, enquiries or otherwise as to the accuracy and completeness of any information contained. Unless otherwise stated, all rental prices are correct at the date of publication and, unless otherwise stated, are quoted inclusive of VAT. Read more",Flat,1.0,1.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Now,,"(51.5268786, -0.0778995)",51.5268786,-0.0778995
17,17,https://www.rightmove.co.uk/properties/137176184#/?channel=RES_LET,"Millbank Quarter, Westminster, London, SW1P",3900.0,"An exceptional 1 bedroom, 1 bathroom apartment in the highly desirable Millbank Quarter, with 24/7 concierge and residents' swimming pool, gym, spa, screening & meeting rooms.   Description Millbank Quarter combines the contemporary with the classic to stunning effect. A bold and imposing limestone and granite exterior is balanced by the contemporary internal courtyard. The result is a building that blends sympathetically with its surroundings, yet makes a bold statement with its own distinctive style.  This is a beautiful apartment comprising: 1 double bedroom, 1 luxurious bathroom, reception room and open-plan kitchen. The property benefits from luxurious fittings and fixtures, high quality appliances and a contemporary design style throughout.  Residents' leisure facilities include a swimming pool, spa, gym, meeting room and screening room.  CPR (Cladding): we have been informed that the building has been tested and complies with current regulations, no remedial works are required. Location Adjacent to the river Thames and nestled amongst some of London's most iconic landmarks, Millbank Quarter is located in the heart of Westminster, to the south of St James Park and east of Victoria/Belgravia. The development is within reach of the many amenities, restaurants and shops of Victoria, Westminster and St James. Local parklands include: Green Park and St James Park Transport Links include: Circle & District Lines (St James’s Park): approx 0.3 miles  Victoria and mainline rail services (Victoria): approx 0.5 miles  Jubilee Line (Westminster): approx 0.5 miles Square Footage: 617 sq ft     Additional Info Leisure facilities exclusive to the residents at 9 Millbank include a state-of-the-art gym, a luxurious swimming pool, spa and treatment rooms, a private cinema screening room and various meeting rooms. A 24-hour concierge service is on hand to help you with all of your needs. Deposit payable: £4,500 Holding Deposit: £900 Minimum Term: 12 Months Rent due monthly in advance. Brochures Web Details Read more",Apartment,1.0,1.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,31/08/2023,0.0,"(51.49015162210095, -0.1327174542974079)",51.49015162210095,-0.1327174542974079
18,18,https://www.rightmove.co.uk/properties/136335272#/?channel=RES_LET,"Wellington House, 70 Buckingham Gate, Westminster, London, SW1E",5092.0,"Beautiful modern 2 bedroom, 2 bathroom apartment with balcony and 24/7 concierge. Enviably located on Buckingham Gate offering easy access to St. James Park station.   Description This is a beautiful apartment of over 1,000 sq ft in one of Westminster's most desirable modern developments. Finished to an exceptional standard, the apartment features Gaggenau appliances, under-floor heating, comfort cooling, Crestron control system and integrated sound system. The property comprises:  2 double bedrooms (both with built-in storage), 2 stylish bathrooms, large reception with open-plan kitchen and balcony. Wellington House has a 24/7 concierge. CPR (Cladding): it has been tested and there is no potentially dangerous cladding an no remedial works are planned. Location Wellington House is a highly desirable residential development in the heart of Westminster which was completed in 2012. Located to the south of St James Park and to the East of Victoria, the property is within reach of the many amenities, restaurants and shops of Victoria, St James, Mayfair and Westminster.  Local parklands include: St James Park (approx) 0.2 miles.  Transport Links include:  Circle & District Lines (St James’s Park): approx 0.2 miles  Victoria and mainline rail services (Victoria): approx 0.3 miles  Jubilee Line (Westminster): approx 0.6 miles Square Footage: 1,032 sq ft     Additional Info Holding Deposit  £1,250.00 (1 week) Deposit Payable £7,500.00 (6 weeks) Minimum Term : 12 months     Rent must be paid monthly in advance Brochures Web Details Read more",Apartment,2.0,2.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,01/08/2023,0.0,"(51.49801164130436, -0.1397972608695652)",51.49801164130436,-0.1397972608695652
19,20,https://www.rightmove.co.uk/properties/123675287#/?channel=RES_LET,College Place NW1,3000.0,"The flat comprises of a spacious, bright reception room that can be converted to the third bedroom.  It has two double bedrooms complete with double beds, wardrobes, chest of drawers.  The large lounge which has been converted to the third bedroom, it is furnished with a three seater sofa, a double bed, chest of drawers and a wardrobe. It also provides access to a good sized private balcony.  There is a spacious kitchen with all standard built-in appliances. A good sized three piece bathroom completes this well maintained flat. The property comes with wooden laminate flooring and is double glazed throughout. Transport Links: 7 minutes walk to Camden High Street which has an array of supermarkets, shops, bars, restaurants, dessert parlours, clubs (the famous KOKO) all at your doorstep! 5 minutes walk to Mornington crescent station (Northern line) Within walking distance to The Royal Veterinary College and University College London.  Council Tax Band: C Holding Deposit: £738.46 Brochures Brochure Read more",Flat,3.0,1.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,02/08/2023,3692.0,"(51.54267016588916, -0.1863806122410897)",51.54267016588916,-0.1863806122410897
20,21,https://www.rightmove.co.uk/properties/137176043#/?channel=RES_LET,"Green Street, London, W1K",12133.0,"An impressive three bedroom property set on this prestigious street within North Mayfair.   Description Presented in excellent condition, this spacious three bedroom property benefits from a grand reception room with an abundance of natural light, a separate fully fitted modern kitchen, large principal bedroom with en suite bathroom and dressing room and a further two double bedrooms and two bathrooms. Location Green Street is located to the east of Hyde Park off Park Lane. The property is within reach of the many amenities, restaurants and shops offered by Oxford Street, South Audley Street and their surrounding areas. The closest Underground stations are Marble Arch (Central line), located 0.2 miles from the property and Bond Street (Central, Jubilee and Elizabeth lines), located 0.3 miles from the property. Please note all distances are approximate.     Additional Info Holding Deposit  £2,600.00 (1  week) Deposit Payable £15,600.00 (6 weeks) Minimum Term: 12 months Brochures Web Details Read more",Apartment,3.0,3.0,Unfurnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Now,0.0,"(51.5129119, -0.1535289)",51.5129119,-0.1535289
21,23,https://www.rightmove.co.uk/properties/137176025#/?channel=RES_LET,"Holland Road, London, W14",3358.0,"An excellent two bedroom unfurnished flat with an exceptionally large 100 ft. private garden   Description An excellent two bedroom unfurnished flat with an exceptionally large 100 ft. private garden with small home office in the garden. Reception room with wood floors and lovely high ceilings with doors onto garden, well fitted kitchen. Principal bedroom with en suite bathroom and plenty of storage,  second single bedroom, shower room. The flat has a good sized long hallway with excellent cupboard/storage space. No pets as per the head lease. Location Holland Road is near to the many shops and restaurants in Holland Park and also nearby is Westfield for further shopping.     Additional Info Deposit payable: £3,875 (5 weeks rent) Holding Deposit: £775 (1 weeks rent) Minimum Term: 12 months Brochures Web Details Read more",Apartment,2.0,2.0,Unfurnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,14/08/2023,0.0,"(51.5026604, -0.2141564)",51.5026604,-0.2141564
22,24,https://www.rightmove.co.uk/properties/137176016#/?channel=RES_LET,"Islington on the Green, 12A Islington Green, Angel, Islington, London, N1",2600.0,"Featuring all the benefits of an unbeatable central Islington location and set in a private development with concierge a contemporary 2nd floor one bedroom apartment with dark wooden floors.   Description Featuring all the benefits of an unbeatable central Islington location, but also set in a private development with concierge a contemporary 2nd floor one bedroom apartment with dark wooden floors. Location The property is close to Angel Station which is on the Bank Branch of the Northern Line and is within a few stops of the City. it is also one stop to Kings Cross St Pancras with its extensive links to the rest of London, the UK and Europe via Eurostar. Square Footage: 614 sq ft     Directions This apartment is surrounded by bustling Islington, with it's endless array of restaurants, bars and shops. For a little culture, Sadler's Wells Dance Theatre is right on your doorstep. London Underground Angel station is conveniently located just down the road from the property and is serviced by the Northern line, providing a direct link to the centre of London's financial district, with subsequent connections straight to the West End, Canary Wharf and London City Airport. There are also numerous bus routes passing by the property. 
 Additional Info Angel Station is on the Bank Branch of the Northern Line. Moorgate, Bank/Monument and London Bridge are all within 4 stops, and Kings Cross, with its extensive links to the rest of London, is one stop away. Brochures Web Details Read more",Apartment,1.0,1.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,16/09/2023,0.0,"(51.57940204009062, -0.1052821458825847)",51.57940204009062,-0.1052821458825847
23,25,https://www.rightmove.co.uk/properties/135990152#/?channel=RES_LET,"Lansdowne Road, SW20",4000.0,"SHORT LET - ALL BILLS INCLUDED : A simply STUNNING split level three-bedroom apartment finished to a VERY HIGH STANDARD, with amazing views of Wimbledon from the PRIVATE ROOF TERRACE. This BEAUTIFUL and SPACIOUS duplex comes FURNISHED, and comprises a MODERN open plan kitchen, a LARGE reception room, three MODERN bathrooms (2 en-suite) and three GENEROUSLY-SIZED bedrooms. The property further benefits from OFF-STREET PARKING. Ideally located, Warwick Court is just a short walk away from the amenities of both, Wimbledon Village and Wimbledon town, as well as the green open spaces of the beautiful Wimbledon Common.  The closest transport link is Raynes Park (National Rail) and Wimbledon Chase  providing easy access into many areas of London.  Read more",Penthouse,3.0,3.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,Ask agent,,"(51.4174626, -0.2256946)",51.4174626,-0.2256946
24,26,https://www.rightmove.co.uk/properties/137175953#/?channel=RES_LET,"Gladwin Tower, Vauxhall, SW8 ",2950.0,"LONG LET 1 Bedroom 1 Bathroom 658 sqft 61.10 sqm in Vauxhall Nine Elm, in a highly sort after new development with facilities. On the 25th floor with a South-facing benefit from skyline views across London and beyond. Next to newly opened Nine Elms Underground station, big Sainsbury's, Starbucks as well as Oriental convenient store. Key features: Luxury fitted kitchens with AEG appliances include a washing machine, dishwasher, wine cooler, freestanding fridge freezer Underfloor heating & comfort cooling Hyper optic pre-installed, the tenant will need to sign up to the package on their own accord Facilities include: Residents only fitness suite, 24-hour concierge, boardroom, lounge, cinema & private dining room. Over an acre of private landscaped gardens. *Furnished *Bills not included *Council Tax Band - E Council Tax Band: E Holding Deposit: £680 Kitchen/lounge 6.48m x 4.31m Bedroom 1 6.04m x 3.23m Brochures Brochure Read more",Apartment,1.0,1.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,02/10/2023,,"(51.4766616195006, -0.1319639203329369)",51.4766616195006,-0.1319639203329369
25,27,https://www.rightmove.co.uk/properties/137175950#/?channel=RES_LET,"Camley Street, Kings Cross, N1C",3033.0,"LONG LET  1 bedroom newly built apartment available in the Onyx building with 24 hours concierge.  Across the street from Cooperative super market, next to Regents Canal and newly regenerated open space surrounding Coal Drop Yard and Granary Square.  9 Minutes walk from Central St Martins. 10 Minutes walks from Kings Cross St Pancras and Euro Star.  *Furnished including kitchenware  *Not including bills *Council tax band - E Council Tax Band: E Holding Deposit: £700 Brochures Brochure Read more",Flat,1.0,1.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,02/09/2023,3500.0,"(51.53670660526316, -0.1260317236842105)",51.53670660526316,-0.1260317236842105
26,28,https://www.rightmove.co.uk/properties/137175896#/?channel=RES_LET,"Mansbridge House, 27 Patcham Terrace, London, SW8",3900.0,"A brand new two bedroom apartment in this sought after development Battersea Exchange.   Description A brand new two bedroom apartment in this sought after development Battersea Exchange. This apartment offers an open plan kitchen/reception room with access to a winter garden, excellent storage space in the entrance hall, large principle bedroom with built in wardrobes, luxury en-suite bathroom and a winter garden. Further double bedroom with built in wardrobes and a separate family bathroom.  Residents benefit from 24 hour concierge services, lift access, communal roof terrace and residents gym. This property has cladding as far as we know the current position with the property is: ‘It’s been tested and there are no works required’ * You should make enquires about the external wall system of the property, if it has cladding and if it is safe or if there are interim measure in place. Agent notes: The photographs provided are over six months and may present different furnishings and possessions when visiting the property as it’s tenanted. Location Battersea Park View is an ambitious new development within the highly sought after Battersea Exchange neighbourhood. The site is conveniently located for both Battersea Park and Queenstown stations, and will benefit from the new Northern line station coming to Battersea next year – making commuting a breeze. Residents will also benefit from proximity to great schools (including a primary school within Battersea Exchange itself), shops, cafes and restaurants. Square Footage: 857 sq ft     Additional Info Holding Deposit  £900.00 ( 1  week ) Deposit Payable £4,500.00 ( 5 weeks ) Minimum Term : 12 months     Rent must be paid monthly in advance Brochures Web Details Read more",Apartment,2.0,1.0,Part furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,15/09/2023,0.0,"(51.4766616195006, -0.1319639203329369)",51.4766616195006,-0.1319639203329369
27,29,https://www.rightmove.co.uk/properties/125281427#/?channel=RES_LET,"Gladwin Tower, Nine Elms, SW8 ",3250.0,"LONG LET  Available from the 5th of September, covering 642 sq. ft. in living space and situated on the tenth floor with a lift, this modern property is currently furnished and comes with big windows, high ceilings and ample storage. The property also benefits from a private balcony that holds a great view. Residents further can enjoy a gym and lounge area in the building, as well as porter facilities and 24hr security. Further features and amenities include: - Air cooling  - Open plan kitchen with dishwasher - Freezer - Washer/Dryer - Students allowed The flat has a current EPC rating of B and is under the Council Tax band E. Near the local amenities, the property is located just a short walk from Nine Elms tube station and only moments away from Vauxhall Park. Furnished  Bills not included  EPC Rating: B Council Tax Band: E (Lambeth) Holding Deposit: £750 Bedroom 1 4.38m x 3.44m Kitchen/Reception 5.1m x 5.17m Brochures Brochure Read more",Apartment,1.0,1.0,Furnished,,Ask Agents,Ask Agents,Ask Agents,Ask Agents,04/09/2023,3750.0,"(51.4766616195006, -0.1319639203329369)",51.4766616195006,-0.1319639203329369
